config_hash,holdout_season,position,stat,use_weather,use_opponent_epa,use_rest_days,use_home_away,dist_family,k,l1_alpha,n_train,n_holdout,log_loss,brier,mae,rmse,bias,aic,max_reliability_dev,fit_seconds,convergence_flag
2d7e7b96b1b914db,2024,qb,passing_yards,True,False,False,False,legacy,2,0.0,4622,663,0.8094551255639483,0.2655659933355706,75.09596655532452,94.58880405879991,17.994809633522934,53465.46829574024,0.3926371468008002,29.3828,ok
2d7e7b96b1b914db,2024,qb,passing_tds,True,False,False,False,legacy,2,0.0,4622,616,0.663811429040822,0.23612251649960578,0.9379327453423407,1.143433759597504,0.046494031225650254,8721.193739930866,0.20157128116868428,29.3828,ok
2d7e7b96b1b914db,2024,qb,interceptions,True,False,False,False,legacy,2,0.0,4622,553,0.5973320122560617,0.20659272987340113,0.7092784286584454,0.8338692777426423,0.053161104218147646,492.49090733859646,0.3722393279655304,29.3828,ok
2d7e7b96b1b914db,2024,qb,completions,True,False,False,False,legacy,2,0.0,4622,663,0.7710810470344854,0.25913410006710624,6.211953002318052,7.96285763773376,1.4319110444216845,32887.027042183625,0.36241506101984045,29.3828,ok
fb3265f3b48938b1,2024,qb,passing_yards,True,False,False,False,legacy,4,0.0,4622,663,0.8488660626786905,0.26811545263191616,75.24984896459735,95.40034884441754,17.590174386272626,53465.46829574024,0.46420373675309623,29.3828,ok
fb3265f3b48938b1,2024,qb,passing_tds,True,False,False,False,legacy,4,0.0,4622,616,0.6646522089894774,0.23685805419440772,0.9377203327022281,1.1435375021521594,0.03677487797415148,8721.193739930866,0.21157944891433883,29.3828,ok
fb3265f3b48938b1,2024,qb,interceptions,True,False,False,False,legacy,4,0.0,4622,553,0.5977649437663642,0.2068102155315496,0.7105941876483773,0.8336639810849877,0.0512133616147505,492.49090733859646,0.2254662839183525,29.3828,ok
fb3265f3b48938b1,2024,qb,completions,True,False,False,False,legacy,4,0.0,4622,663,0.8021103966780608,0.261253623492972,6.232253794821525,8.047628329717565,1.395319798068796,32887.027042183625,0.40740745853154126,29.3828,ok
d0d58593dc712bef,2024,qb,passing_yards,True,False,False,False,legacy,6,0.0,4622,663,0.8754096954564883,0.2699877469315355,75.59975122301886,96.1783462059158,17.15272275963929,53465.46829574024,0.48039808068610285,29.3828,ok
d0d58593dc712bef,2024,qb,passing_tds,True,False,False,False,legacy,6,0.0,4622,616,0.6664831657166872,0.23775225738002828,0.9392698538821459,1.1452349448361736,0.029540124949888787,8721.193739930866,0.2580855509431763,29.3828,ok
d0d58593dc712bef,2024,qb,interceptions,True,False,False,False,legacy,6,0.0,4622,553,0.5981668387154441,0.20699499110877081,0.7111405739772784,0.8336205954328162,0.04963583313829344,492.49090733859646,0.0449195199064342,29.3828,ok
d0d58593dc712bef,2024,qb,completions,True,False,False,False,legacy,6,0.0,4622,663,0.8240370545148418,0.2629927210678861,6.271973810591688,8.12521316368101,1.357285227175085,32887.027042183625,0.4137531763347959,29.3828,ok
aa71fe00d5aff19c,2024,qb,passing_yards,True,False,False,False,legacy,8,0.0,4622,663,0.8943504353940692,0.2714416426414875,75.90123683934566,96.82037397243991,16.754547313660495,53465.46829574024,0.5368729568366516,29.3828,ok
aa71fe00d5aff19c,2024,qb,passing_tds,True,False,False,False,legacy,8,0.0,4622,616,0.6682709963421294,0.23855285567449366,0.9414114524889092,1.1471436571906404,0.023852722893282354,8721.193739930866,0.248397407632155,29.3828,ok
aa71fe00d5aff19c,2024,qb,interceptions,True,False,False,False,legacy,8,0.0,4622,553,0.5984808625041389,0.20713454963464853,0.711404691334401,0.833616328191361,0.04835248163665505,492.49090733859646,0.08952581237181623,29.3828,ok
