config_hash,holdout_season,position,stat,use_weather,use_opponent_epa,use_rest_days,use_home_away,dist_family,k,l1_alpha,n_train,n_holdout,log_loss,brier,mae,rmse,bias,aic,max_reliability_dev,fit_seconds,convergence_flag
2d7e7b96b1b914db,2020,qb,passing_yards,True,False,False,False,legacy,2,0.0,4659,600,0.8698513545346874,0.2813206994908028,80.1858346633391,99.6534335828531,7.833220492340324,16665.166715460655,0.5067180226543283,1.6876,ok
2d7e7b96b1b914db,2020,qb,passing_tds,True,False,False,False,legacy,2,0.0,4659,564,0.6874583328863986,0.24482803058987504,0.9909970101233657,1.1976383835646018,-0.06828014368718978,2768.1532607497948,0.5111357067086943,1.6876,ok
2d7e7b96b1b914db,2020,qb,interceptions,True,False,False,False,legacy,2,0.0,4659,533,0.6167609588608834,0.2152723201761238,0.6923985984836348,0.8286735783949061,0.028353733550056066,126.6632659367716,0.8450078778141457,1.6876,ok
2d7e7b96b1b914db,2020,qb,completions,True,False,False,False,legacy,2,0.0,4659,600,0.8673747947236399,0.2825233945906443,6.682801510370455,8.443656967404065,0.22797760699499586,10094.864785474772,0.5546186297602755,1.6876,ok
2d7e7b96b1b914db,2020,rb,rushing_yards,True,False,False,False,legacy,2,0.0,9742,2592,1.2913030916509558,0.41032170684386976,28.286765305020687,32.552418488339555,14.616740478082136,24339.4312526809,0.7346091564182315,0.2353,ok
2d7e7b96b1b914db,2020,rb,carries,True,False,False,False,legacy,2,0.0,9742,2808,2.9790976945769723,0.5035479575353983,5.920401521961195,6.598259829392179,3.8085484378879095,18180.29576789649,0.65369225062343,0.2353,ok
2d7e7b96b1b914db,2020,rb,rushing_tds,True,False,False,False,legacy,2,0.0,9742,1023,0.5163030739088115,0.16869374447450833,0.4692220457817118,0.618490161580484,-0.02433382689189417,3384.2346524144655,0.14752961608225867,0.2353,ok
2d7e7b96b1b914db,2020,wr_te,receptions,True,False,False,False,legacy,2,0.0,23122,4692,0.8879918641650534,0.30861514450366506,1.7920149427339436,2.213364778376727,0.403457391900954,24931.516635808675,0.4697458800739097,1.5776,ok
2d7e7b96b1b914db,2020,wr_te,receiving_yards,True,False,False,False,legacy,2,0.0,23122,4668,0.8646027997179545,0.30108793938735534,25.19340717020257,30.664694157164583,8.466061008956215,57116.709153450196,0.5555084950389925,1.5776,ok
2d7e7b96b1b914db,2020,wr_te,receiving_tds,True,False,False,False,legacy,2,0.0,23122,2094,0.5051733906452068,0.16397581419656482,0.3967396911800187,0.5178416727887135,-0.008748773159678192,7291.607712171923,0.06403100003799561,1.5776,ok
c2447cee46a2028c,2020,qb,passing_yards,True,False,False,False,legacy,2,0.001,4659,600,0.8730538364086362,0.2823291336985357,80.63857661800476,100.61036324436965,7.869568677677739,16794.115801407905,0.559899186518025,10.4361,ok
c2447cee46a2028c,2020,qb,passing_tds,True,False,False,False,legacy,2,0.001,4659,564,0.6882055303193494,0.24523465962017663,0.9906985546821515,1.1956633146684292,-0.06478047397175372,2793.4340485362,0.4532052104140076,10.4361,ok
c2447cee46a2028c,2020,qb,interceptions,True,False,False,False,legacy,2,0.001,4659,533,0.6161564389079028,0.21489472443137014,0.6920705992995542,0.8276812072563976,0.023927257930222868,135.9728340573787,0.8515167388250703,10.4361,ok
c2447cee46a2028c,2020,qb,completions,True,False,False,False,legacy,2,0.001,4659,600,0.8799796476962896,0.28477720902006715,6.71426837427328,8.498179753903354,0.4653010894414884,10175.926587528404,0.5002350417312867,10.4361,ok
c2447cee46a2028c,2020,rb,rushing_yards,True,False,False,False,legacy,2,0.001,9742,2592,1.2901978580740878,0.40994804004773616,28.286390613809207,32.56421407954202,14.59595339351963,24357.61386247762,0.7332539872198476,319.0608,ok
c2447cee46a2028c,2020,rb,carries,True,False,False,False,legacy,2,0.001,9742,2808,2.9800412699142815,0.5037046466650825,5.921076036241657,6.599128394401399,3.8061188699890884,18186.848192265155,0.6535553582588776,319.0608,ok
c2447cee46a2028c,2020,rb,rushing_tds,True,False,False,False,legacy,2,0.001,9742,1023,0.5161930157456237,0.16864599618475082,0.4687284967769075,0.6191250665534467,-0.026246051983986645,3381.2034182164352,0.27977797690393313,319.0608,ok
c2447cee46a2028c,2020,wr_te,receptions,True,False,False,False,legacy,2,0.001,23122,4692,0.8885482110723161,0.30877427771307947,1.7917020498233287,2.213394968167333,0.4008461121468446,24942.26807976527,0.4716196055583828,18.7507,ok
c2447cee46a2028c,2020,wr_te,receiving_yards,True,False,False,False,legacy,2,0.001,23122,4668,0.8638141691982103,0.30089576137945073,25.19744781429139,30.685637239032847,8.391116714423168,57065.82144871256,0.5577221630645586,18.7507,ok
c2447cee46a2028c,2020,wr_te,receiving_tds,True,False,False,False,legacy,2,0.001,23122,2094,0.5051565582379388,0.16395860104377513,0.3960663154057944,0.5176915754747846,-0.009640778873816511,7285.03189504386,0.07264215552034736,18.7507,ok
f2a1214a8bcff937,2020,qb,passing_yards,True,False,False,False,legacy,2,0.01,4659,600,0.8841774897768492,0.2846731425358136,80.74572485479203,101.40148245639577,8.519647110534878,16790.185714685933,0.5910403426210649,7.3238,ok
f2a1214a8bcff937,2020,qb,passing_tds,True,False,False,False,legacy,2,0.01,4659,564,0.684390393131907,0.2439266704970775,0.9764019244399942,1.184262531597851,-0.049338966760593746,2961.4619733072377,0.9071065378371226,7.3238,ok
f2a1214a8bcff937,2020,qb,interceptions,True,False,False,False,legacy,2,0.01,4659,533,0.6181195379364678,0.21608802090556767,0.6970935046571425,0.8314104561265744,0.038701017368142666,129.6265783571124,0.32142080583847565,7.3238,ok
f2a1214a8bcff937,2020,qb,completions,True,False,False,False,legacy,2,0.01,4659,600,0.8682708690416864,0.2865453421074913,6.757759385271878,8.451201755608244,0.3850266975213385,10241.503223903346,0.5050317811382716,7.3238,ok
f2a1214a8bcff937,2020,rb,rushing_yards,True,False,False,False,legacy,2,0.01,9742,2592,1.2902676949786431,0.40991196658560486,28.29455958422422,32.57159438568851,14.582263779675102,24349.71024884926,0.7332533173059914,253.8896,ok
f2a1214a8bcff937,2020,rb,carries,True,False,False,False,legacy,2,0.01,9742,2808,2.9848460691700947,0.5025000478572549,5.923767593608896,6.603220175863762,3.7831380594623494,18469.412153928,0.6514005208959097,253.8896,ok
f2a1214a8bcff937,2020,rb,rushing_tds,True,False,False,False,legacy,2,0.01,9742,1023,0.5170036874397985,0.16895613451606697,0.46847279258727353,0.6187304014526358,-0.02790940026521134,3386.099169569583,0.14595877040797411,253.8896,ok
f2a1214a8bcff937,2020,wr_te,receptions,True,False,False,False,legacy,2,0.01,23122,4692,0.8885509318517036,0.3088030430334025,1.791417050936365,2.214603680716701,0.3940460436166686,24992.87600712001,0.4675484391649899,12.5175,ok
f2a1214a8bcff937,2020,wr_te,receiving_yards,True,False,False,False,legacy,2,0.01,23122,4668,0.8643084770489166,0.30129757233374743,25.216687544224513,30.700529152950363,8.276540835524948,56976.86672307248,0.5564307435752065,12.5175,ok
f2a1214a8bcff937,2020,wr_te,receiving_tds,True,False,False,False,legacy,2,0.01,23122,2094,0.5065062322866252,0.16440042118710513,0.39517117654054723,0.5193909757819475,-0.014933492491668665,7292.600040756754,0.3433298853861533,12.5175,ok
8ad72ff8dcae79bd,2020,qb,passing_yards,True,False,False,False,legacy,2,0.1,4659,600,0.8641433124126797,0.27994848949620876,79.15970927868138,97.36996675682651,7.467690883007768,16948.29651717985,0.5602200086592677,3.741,ok
8ad72ff8dcae79bd,2020,qb,passing_tds,True,False,False,False,legacy,2,0.1,4659,564,0.6894137881630341,0.24623357553946457,0.9806333785328474,1.1862356640788658,-0.0578962350893493,2922.231942094666,0.6680665737719915,3.741,ok
8ad72ff8dcae79bd,2020,qb,interceptions,True,False,False,False,legacy,2,0.1,4659,533,0.6151852436642423,0.21500722012202567,0.6988909229907675,0.8288941160432612,0.03408689520659354,161.24600310912484,0.34778436596682716,3.741,ok
8ad72ff8dcae79bd,2020,qb,completions,True,False,False,False,legacy,2,0.1,4659,600,0.861656464330289,0.2838595642207944,6.618793483695437,8.278647718012845,0.22295901074899963,10392.791084410997,0.5125050837511262,3.741,ok
8ad72ff8dcae79bd,2020,rb,rushing_yards,True,False,False,False,legacy,2,0.1,9742,2592,1.289951610171258,0.4098689947700284,28.286997253622584,32.564504536697484,14.545827218265154,24347.07390806968,0.7355083650115536,157.6558,ok
8ad72ff8dcae79bd,2020,rb,carries,True,False,False,False,legacy,2,0.1,9742,2808,2.98066154154898,0.5038592263386437,5.924304160076619,6.602817272276768,3.802315714981571,18182.415259863985,0.653840312382697,157.6558,ok
8ad72ff8dcae79bd,2020,rb,rushing_tds,True,False,False,False,legacy,2,0.1,9742,1023,0.5193445329281968,0.1700192158764031,0.46996663659094956,0.6224014862168616,-0.03583011037230891,3484.9014756576516,0.39219853618040285,157.6558,ok
8ad72ff8dcae79bd,2020,wr_te,receptions,True,False,False,False,legacy,2,0.1,23122,4692,0.8876734246867194,0.30853777192974086,1.7933582292407284,2.2157648288220275,0.3996108503135998,25361.621339419915,0.4705204077489808,6.3609,ok
8ad72ff8dcae79bd,2020,wr_te,receiving_yards,True,False,False,False,legacy,2,0.1,23122,4668,0.8641778132093879,0.3011172326399008,25.25955279066334,30.73657412804278,8.465613503271262,56854.98117482553,0.5572831822922566,6.3609,ok
8ad72ff8dcae79bd,2020,wr_te,receiving_tds,True,False,False,False,legacy,2,0.1,23122,2094,0.5116422182860764,0.16589894039151726,0.3942844030424202,0.5227213922396747,-0.021588179433682755,7578.185456619221,0.03667121932832454,6.3609,ok
fb3265f3b48938b1,2020,qb,passing_yards,True,False,False,False,legacy,4,0.0,4659,600,0.8979045502242174,0.2815662708273728,80.30491530851886,98.93945617223108,5.976737984758443,16665.166715460655,0.5136789620290618,1.8123,ok
fb3265f3b48938b1,2020,qb,passing_tds,True,False,False,False,legacy,4,0.0,4659,564,0.6859670908048495,0.24513560029675316,0.9942362422648698,1.1973784836097072,-0.09283911170346894,2768.1532607497948,0.32947563288923953,1.8123,ok
fb3265f3b48938b1,2020,qb,interceptions,True,False,False,False,legacy,4,0.0,4659,533,0.6129778085670798,0.21391641435522918,0.6924584939998211,0.8257912291569437,0.026542269012655433,126.6632659367716,0.7901539266121482,1.8123,ok
fb3265f3b48938b1,2020,qb,completions,True,False,False,False,legacy,4,0.0,4659,600,0.8965260567018836,0.2841381407854821,6.719372883609804,8.421642685374062,0.07553673322549435,10094.864785474772,0.4740351387210814,1.8123,ok
fb3265f3b48938b1,2020,rb,rushing_yards,True,False,False,False,legacy,4,0.0,9742,2592,1.307566094682253,0.4145767715420168,28.578625649705995,32.84453352166877,14.635240573136072,24339.4312526809,0.7276828120082283,0.2384,ok
fb3265f3b48938b1,2020,rb,carries,True,False,False,False,legacy,4,0.0,9742,2808,3.0224148103607527,0.5088139975148185,6.006254102325435,6.66605145968049,3.823186602299488,18180.29576789649,0.6509739010328637,0.2384,ok
fb3265f3b48938b1,2020,rb,rushing_tds,True,False,False,False,legacy,4,0.0,9742,1023,0.518393406226877,0.16928281119117417,0.4700102581586183,0.6201988875310959,-0.0323584962299525,3384.2346524144655,0.17047917854683858,0.2384,ok
fb3265f3b48938b1,2020,wr_te,receptions,True,False,False,False,legacy,4,0.0,23122,4692,0.9036614051884919,0.3131314562925845,1.8186077358880228,2.2399053901799437,0.39952907103724883,24931.516635808675,0.4610774344015564,1.6023,ok
fb3265f3b48938b1,2020,wr_te,receiving_yards,True,False,False,False,legacy,4,0.0,23122,4668,0.8759071919662599,0.30454782514208795,25.45683782435614,30.885392777060968,8.390853278219831,57116.709153450196,0.5577660263036577,1.6023,ok
fb3265f3b48938b1,2020,wr_te,receiving_tds,True,False,False,False,legacy,4,0.0,23122,2094,0.5065638658102101,0.1644433240056367,0.395998376032213,0.5191842493164173,-0.014293742742325892,7291.607712171923,0.4282411054700159,1.6023,ok
a2b4da6fd55392b5,2020,qb,passing_yards,True,False,False,False,legacy,4,0.001,4659,600,0.8922062140672076,0.2822875110755525,80.3764088542485,99.25269367788077,5.923430633657045,16794.115801407905,0.5594927339590925,10.4057,ok
