config_hash,holdout_season,position,stat,use_weather,use_opponent_epa,use_rest_days,use_home_away,dist_family,k,l1_alpha,n_train,n_holdout,log_loss,brier,mae,rmse,bias,aic,max_reliability_dev,fit_seconds,convergence_flag
2d7e7b96b1b914db,2019,qb,passing_yards,True,False,False,False,legacy,2,0.0,1250,551,0.9439671435544735,0.27741183298031935,91.40514143913549,125.643233876883,17.966379615479042,7910.249730287059,0.44779704311754287,0.8739,ok
2d7e7b96b1b914db,2019,qb,passing_tds,True,False,False,False,legacy,2,0.0,1250,538,0.7226370824778916,0.2447299945727142,1.046709567288769,1.3009381477273758,0.1416420950894692,1316.671312787049,0.5104232449989967,0.8739,ok
2d7e7b96b1b914db,2019,qb,interceptions,True,False,False,False,legacy,2,0.0,1250,488,0.6109709199728207,0.21031041208687273,0.75705640807936,0.9563188792763812,-0.037396419964873605,,0.17389117192899323,0.8739,constant_fallback
2d7e7b96b1b914db,2019,qb,completions,True,False,False,False,legacy,2,0.0,1250,551,0.9037091768724791,0.2785938675567742,7.221022957746627,9.868479867835477,1.2148516743883129,4926.975541026657,0.4224702625635538,0.8739,ok
2d7e7b96b1b914db,2019,rb,rushing_yards,True,False,False,False,legacy,2,0.0,2661,2467,1.270807219807866,0.4094294202955285,28.341915446454628,33.016291294173556,15.038553202916875,12254.617124478002,0.7329564559287569,0.1394,ok
2d7e7b96b1b914db,2019,rb,carries,True,False,False,False,legacy,2,0.0,2661,2660,3.050359690966413,0.512617506321157,5.857429220046768,6.576481454974073,3.7456581693176654,9306.13129160168,0.6575732155948661,0.1394,ok
2d7e7b96b1b914db,2019,rb,rushing_tds,True,False,False,False,legacy,2,0.0,2661,915,0.5399503559509915,0.17913153453447764,0.47332804756389574,0.6208777953936656,-0.027614540329278757,1693.0312739221094,0.07021687531222948,0.1394,ok
2d7e7b96b1b914db,2019,wr_te,receptions,True,False,False,False,legacy,2,0.0,6280,4422,0.8839857409870915,0.3066340334792879,1.7967604551736291,2.2256685828885807,0.4235610858225822,12535.984543472823,0.47937811091542837,0.8854,ok
2d7e7b96b1b914db,2019,wr_te,receiving_yards,True,False,False,False,legacy,2,0.0,6280,4410,0.8522862440173165,0.2979314909627749,25.297362124822293,31.109361124411752,8.206085053518475,28735.96481148254,0.5655621023247047,0.8854,ok
2d7e7b96b1b914db,2019,wr_te,receiving_tds,True,False,False,False,legacy,2,0.0,6280,1926,0.4977175860797557,0.16016205320697433,0.3980620837638129,0.5209726600245266,0.008138337341917138,3687.381203375676,0.542328617139386,0.8854,ok
c2447cee46a2028c,2019,qb,passing_yards,True,False,False,False,legacy,2,0.001,1250,551,0.887963370518724,0.271211153998066,85.98926323182067,117.32964332848337,14.134052345616576,8114.616303508635,0.47632404707200093,7.6565,ok
c2447cee46a2028c,2019,qb,passing_tds,True,False,False,False,legacy,2,0.001,1250,538,0.7154830967356192,0.2417131961262067,1.0381592896508793,1.2921933607213714,0.1219685597852414,1314.055239204578,0.4978919153469958,7.6565,ok
c2447cee46a2028c,2019,qb,interceptions,True,False,False,False,legacy,2,0.001,1250,488,0.6393344465492923,0.2197266745969106,0.773418827126323,0.9841418491469456,0.02269137820127333,319.1083380561051,0.7042444667311434,7.6565,ok
c2447cee46a2028c,2019,qb,completions,True,False,False,False,legacy,2,0.001,1250,551,0.8451843118883414,0.275329344442266,6.933175725875782,9.042869548799262,0.6113274623169033,4857.0163627266475,0.44621039884968383,7.6565,ok
c2447cee46a2028c,2019,rb,rushing_yards,True,False,False,False,legacy,2,0.001,2661,2467,1.2720205389355712,0.4101374465810211,28.356996984035895,33.026787949744666,15.077311994801383,12261.81141488907,0.7326569159635823,161.0204,ok
c2447cee46a2028c,2019,rb,carries,True,False,False,False,legacy,2,0.001,2661,2660,3.050403767491153,0.5125075535913615,5.856547835925558,6.576165475469055,3.748670716759572,9307.578711307233,0.6586757735878432,161.0204,ok
c2447cee46a2028c,2019,rb,rushing_tds,True,False,False,False,legacy,2,0.001,2661,915,0.5398107865105021,0.17901615914650038,0.4736922422645575,0.6207088230203146,-0.027232392418858237,1689.7675397446442,0.0689801506694187,161.0204,ok
c2447cee46a2028c,2019,wr_te,receptions,True,False,False,False,legacy,2,0.001,6280,4422,0.8844599379694028,0.30686463540655506,1.7988389160143519,2.2271656829701887,0.4246634420736502,12536.530158252514,0.48117367617562673,10.7662,ok
c2447cee46a2028c,2019,wr_te,receiving_yards,True,False,False,False,legacy,2,0.001,6280,4410,0.850559502377939,0.2977318256347577,25.377348253304287,31.16832259670614,8.188697159917675,28682.102227103816,0.561984249683738,10.7662,ok
c2447cee46a2028c,2019,wr_te,receiving_tds,True,False,False,False,legacy,2,0.001,6280,1926,0.4954479505335844,0.15935028259614115,0.3973146788209134,0.5196114186580818,0.007912017365364373,3680.962477315026,0.42655095952384997,10.7662,ok
f2a1214a8bcff937,2019,qb,passing_yards,True,False,False,False,legacy,2,0.01,1250,551,0.8195235963478515,0.26410003621988243,81.4975383783664,106.20065517950054,8.590585218089844,8237.037629672413,0.460091322089606,5.1482,ok
f2a1214a8bcff937,2019,qb,passing_tds,True,False,False,False,legacy,2,0.01,1250,538,0.671406318104916,0.23287684137459258,1.0015141034965265,1.2383768359434,0.061244327855721446,1341.0347463592896,0.20844937860104973,5.1482,ok
