selected_side,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
under,9345.0,6282.0,3063.0,0.0,9345.0,2647.909090909091,0.2833503575076609,0.67223113964687
over,7590.0,3457.0,4133.0,0.0,7590.0,-990.2727272727273,-0.1304707150556953,0.455467720685112
