season,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
2024,17953.0,9998.0,7955.0,0.0,17953.0,1134.090909090909,0.06316999437926302,0.5568985684843759
2025,18407.0,10175.0,8232.0,0.0,18407.0,1018.0,0.055305046992991796,0.5527788341391862
