selected_side,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
under,20479.0,13864.0,6615.0,0.0,20479.0,5988.636363636364,0.29242816366211066,0.6769861809658675
over,15881.0,6309.0,9572.0,0.0,15881.0,-3836.545454545455,-0.24158084846958347,0.39726717461117056
