edge_bucket,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
0.15+,13644.0,8024.0,5620.0,0.0,13644.0,1674.5454545454545,0.12273127048852642,0.5880973321606567
0.05-0.10,1623.0,850.0,773.0,0.0,1623.0,-0.2727272727272627,-0.00016803898504452416,0.5237215033887862
0.10-0.15,1668.0,865.0,803.0,0.0,1668.0,-16.636363636363612,-0.009973839110529743,0.5185851318944844
