edge_bucket,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
0.15+,14486.0,8145.0,6341.0,0.0,14486.0,1063.5454545454545,0.0734188495475255,0.5622670164296563
0.05-0.10,1887.0,1007.0,880.0,0.0,1887.0,35.45454545454547,0.01878884231825409,0.5336512983571807
0.10-0.15,2034.0,1023.0,1011.0,0.0,2034.0,-80.99999999999999,-0.039823008849557515,0.5029498525073747
