stat,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
receiving_tds,1965.0,1557.0,408.0,0.0,1965.0,1007.4545454545454,0.5126995142262317,0.7923664122137405
rushing_tds,971.0,744.0,227.0,0.0,971.0,449.3636363636363,0.4627843834846924,0.7662203913491246
receptions,3479.0,2007.0,1472.0,0.0,3479.0,352.54545454545456,0.10133528443387599,0.576889910893935
receiving_yards,3627.0,2000.0,1627.0,0.0,3627.0,191.1818181818182,0.05271073013008497,0.5514199062586159
interceptions,509.0,335.0,174.0,0.0,509.0,130.54545454545453,0.25647437042328985,0.6581532416502947
passing_tds,592.0,369.0,223.0,0.0,592.0,112.45454545454547,0.18995700245700248,0.6233108108108109
passing_yards,494.0,293.0,201.0,0.0,494.0,65.36363636363636,0.13231505336768493,0.5931174089068826
completions,475.0,283.0,192.0,0.0,475.0,65.27272727272727,0.13741626794258371,0.5957894736842105
rushing_yards,2211.0,1009.0,1202.0,0.0,2211.0,-284.7272727272727,-0.12877759960527937,0.45635459068294887
carries,2612.0,1142.0,1470.0,0.0,2612.0,-431.8181818181818,-0.16532089656132534,0.43721286370597245
