selected_side,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
under,11262.0,7618.0,3644.0,0.0,11262.0,3281.454545454545,0.2913740494987165,0.6764340259278991
over,7539.0,2982.0,4557.0,0.0,7539.0,-1846.090909090909,-0.2448721195239301,0.3955431754874652
