player_id,season,week,stat,line,actual_value,book,selected_side,selected_odds,selected_book_implied_prob,selected_fair_american,selected_raw_prob,selected_prob,selected_edge,result,stake_units,profit_units,game_id,recent_team,opponent_team
00-0036554,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_HOU_IND,HOU,IND
00-0036613,2024,1,carries,0.5,1.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,win,1.0,0.9090909090909091,2024_01_MIA_JAX,MIA,JAX
00-0036963,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_DET_LA,DET,LA
00-0036988,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_LAC_LV,LAC,LV
00-0037240,2024,1,carries,0.5,1.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,win,1.0,0.9090909090909091,2024_01_DET_LA,DET,LA
00-0037247,2024,1,carries,0.5,1.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,win,1.0,0.9090909090909091,2024_01_PIT_ATL,PIT,ATL
00-0037261,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_BUF_ARI,BUF,ARI
00-0037545,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_NO_CAR,NO,CAR
00-0037740,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_NYJ_SF,NYJ,SF
00-0037742,2024,1,carries,0.5,2.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,win,1.0,0.9090909090909091,2024_01_TEN_CHI,TEN,CHI
00-0037801,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_DAL_CLE,DAL,CLE
00-0037837,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_PIT_ATL,PIT,ATL
00-0038104,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_NE_CIN,NE,CIN
00-0038117,2024,1,carries,0.5,1.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,win,1.0,0.9090909090909091,2024_01_NYG_MIN,NYG,MIN
00-0038124,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_GB_PHI,GB,PHI
00-0038544,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_LAC_LV,LAC,LV
00-0038563,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_LV_LAC,LV,LAC
00-0038576,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_CIN_NE,CIN,NE
00-0038738,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_DAL_CLE,DAL,CLE
00-0038976,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_DEN_SEA,DEN,SEA
00-0039052,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_TB_WAS,TB,WAS
00-0039064,2024,1,carries,0.5,2.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,win,1.0,0.9090909090909091,2024_01_BAL_KC,BAL,KC
00-0039067,2024,1,carries,0.5,0.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,loss,1.0,-1.0,2024_01_KC_BAL,KC,BAL
00-0039146,2024,1,carries,0.5,1.0,synthetic,over,-110,0.5238095238095238,-556585.0,0.9998203651245928,0.9998203651245928,0.476010841315069,win,1.0,0.9090909090909091,2024_01_GB_PHI,GB,PHI
00-0036358,2024,1,receptions,10.5,5.0,synthetic,under,-110,0.5238095238095238,-483115.0,0.9997930526554109,0.9997930526554109,0.475983528845887,win,1.0,0.9090909090909091,2024_01_DAL_CLE,DAL,CLE
00-0033293,2024,1,carries,20.5,14.0,synthetic,under,-110,0.5238095238095238,-392755.0,0.9997454530502035,0.9997454530502035,0.4759359292406796,win,1.0,0.9090909090909091,2024_01_MIN_NYG,MIN,NYG
00-0037197,2024,1,carries,20.5,15.0,synthetic,under,-110,0.5238095238095238,-392755.0,0.9997454530502035,0.9997454530502035,0.4759359292406796,win,1.0,0.9090909090909091,2024_01_KC_BAL,KC,BAL
00-0037840,2024,1,carries,20.5,18.0,synthetic,under,-110,0.5238095238095238,-392755.0,0.9997454530502035,0.9997454530502035,0.4759359292406796,win,1.0,0.9090909090909091,2024_01_LA_DET,LA,DET
00-0033553,2024,1,carries,19.5,16.0,synthetic,under,-110,0.5238095238095238,-156788.0,0.9993626023840955,0.9993626023840955,0.47555307857457163,win,1.0,0.9090909090909091,2024_01_ARI_BUF,ARI,BUF
00-0038120,2024,1,carries,19.5,16.0,synthetic,under,-110,0.5238095238095238,-156788.0,0.9993626023840955,0.9993626023840955,0.47555307857457163,win,1.0,0.9090909090909091,2024_01_NYJ_SF,NYJ,SF
00-0035700,2024,1,carries,18.5,16.0,synthetic,under,-110,0.5238095238095238,-65465.0,0.9984747899271004,0.9984747899271004,0.47466526611757653,win,1.0,0.9090909090909091,2024_01_GB_PHI,GB,PHI
00-0036555,2024,1,carries,18.5,6.0,synthetic,under,-110,0.5238095238095238,-65465.0,0.9984747899271004,0.9984747899271004,0.47466526611757653,win,1.0,0.9090909090909091,2024_01_CAR_NO,CAR,NO
00-0035719,2024,1,carries,1.5,8.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,win,1.0,0.9090909090909091,2024_01_SF_NYJ,SF,NYJ
00-0036268,2024,1,carries,1.5,1.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,loss,1.0,-1.0,2024_01_SEA_DEN,SEA,DEN
00-0036358,2024,1,carries,1.5,3.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,win,1.0,0.9090909090909091,2024_01_DAL_CLE,DAL,CLE
00-0037745,2024,1,carries,1.5,2.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,win,1.0,0.9090909090909091,2024_01_CHI_TEN,CHI,TEN
00-0038396,2024,1,carries,1.5,2.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,win,1.0,0.9090909090909091,2024_01_NYG_MIN,NYG,MIN
00-0038573,2024,1,carries,1.5,2.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,win,1.0,0.9090909090909091,2024_01_LAC_LV,LAC,LV
00-0038621,2024,1,carries,1.5,0.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,loss,1.0,-1.0,2024_01_NE_CIN,NE,CIN
00-0038977,2024,1,carries,1.5,2.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,win,1.0,0.9090909090909091,2024_01_HOU_IND,HOU,IND
00-0039075,2024,1,carries,1.5,1.0,synthetic,over,-110,0.5238095238095238,-57740.0,0.9982710890097105,0.9982710890097105,0.4744615652001867,loss,1.0,-1.0,2024_01_LA_DET,LA,DET
00-0030279,2024,1,receptions,8.5,4.0,synthetic,under,-110,0.5238095238095238,-34207.0,0.9970851153728282,0.9970851153728282,0.47327559156330434,win,1.0,0.9090909090909091,2024_01_CHI_TEN,CHI,TEN
00-0030506,2024,1,receptions,8.5,3.0,synthetic,under,-110,0.5238095238095238,-34207.0,0.9970851153728282,0.9970851153728282,0.47327559156330434,win,1.0,0.9090909090909091,2024_01_KC_BAL,KC,BAL
00-0033662,2024,1,passing_yards,29.5,0.0,synthetic,over,-110,0.5238095238095238,-28646.0,0.9965212508891544,0.9965212508891544,0.4727117270796306,loss,1.0,-1.0,2024_01_DAL_CLE,DAL,CLE
00-0033662,2024,1,completions,3.5,0.0,synthetic,over,-110,0.5238095238095238,-16630.0,0.994022539760514,0.994022539760514,0.4702130159509902,loss,1.0,-1.0,2024_01_DAL_CLE,DAL,CLE
00-0032764,2024,1,carries,16.5,13.0,synthetic,under,-110,0.5238095238095238,-13122.0,0.992436953638167,0.992436953638167,0.46862742982864314,win,1.0,0.9090909090909091,2024_01_BAL_KC,BAL,KC
00-0037248,2024,1,carries,16.5,19.0,synthetic,under,-110,0.5238095238095238,-13122.0,0.992436953638167,0.992436953638167,0.46862742982864314,loss,1.0,-1.0,2024_01_BUF_ARI,BUF,ARI
00-0029604,2024,1,carries,2.5,1.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,loss,1.0,-1.0,2024_01_ATL_PIT,ATL,PIT
00-0030565,2024,1,carries,2.5,4.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,win,1.0,0.9090909090909091,2024_01_SEA_DEN,SEA,DEN
00-0031280,2024,1,carries,2.5,2.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,loss,1.0,-1.0,2024_01_NO_CAR,NO,CAR
00-0033106,2024,1,carries,2.5,1.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,loss,1.0,-1.0,2024_01_DET_LA,DET,LA
00-0033662,2024,1,carries,2.5,1.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,loss,1.0,-1.0,2024_01_DAL_CLE,DAL,CLE
00-0034855,2024,1,carries,2.5,3.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,win,1.0,0.9090909090909091,2024_01_TB_WAS,TB,WAS
00-0035289,2024,1,carries,2.5,3.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,win,1.0,0.9090909090909091,2024_01_LV_LAC,LV,LAC
00-0036212,2024,1,carries,2.5,1.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,loss,1.0,-1.0,2024_01_MIA_JAX,MIA,JAX
00-0036264,2024,1,carries,2.5,0.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,loss,1.0,-1.0,2024_01_GB_PHI,GB,PHI
00-0037258,2024,1,carries,2.5,3.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,win,1.0,0.9090909090909091,2024_01_HOU_IND,HOU,IND
00-0038705,2024,1,carries,2.5,0.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,loss,1.0,-1.0,2024_01_ARI_BUF,ARI,BUF
00-0039150,2024,1,carries,2.5,4.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,win,1.0,0.9090909090909091,2024_01_CAR_NO,CAR,NO
00-0039152,2024,1,carries,2.5,4.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,win,1.0,0.9090909090909091,2024_01_TEN_CHI,TEN,CHI
00-0039163,2024,1,carries,2.5,4.0,synthetic,over,-110,0.5238095238095238,-11791.0,0.9915901578299952,0.9915901578299952,0.4677806340204713,win,1.0,0.9090909090909091,2024_01_HOU_IND,HOU,IND
00-0033881,2024,1,receptions,7.5,1.0,synthetic,under,-110,0.5238095238095238,-10439.0,0.9905112722396838,0.9905112722396838,0.46670174843016,win,1.0,0.9090909090909091,2024_01_JAX_MIA,JAX,MIA
00-0033885,2024,1,receptions,7.5,4.0,synthetic,under,-110,0.5238095238095238,-10439.0,0.9905112722396838,0.9905112722396838,0.46670174843016,win,1.0,0.9090909090909091,2024_01_CLE_DAL,CLE,DAL
00-0036322,2024,1,receptions,7.5,4.0,synthetic,under,-110,0.5238095238095238,-10439.0,0.9905112722396838,0.9905112722396838,0.46670174843016,win,1.0,0.9090909090909091,2024_01_MIN_NYG,MIN,NYG
00-0036963,2024,1,receptions,7.5,3.0,synthetic,under,-110,0.5238095238095238,-10439.0,0.9905112722396838,0.9905112722396838,0.46670174843016,win,1.0,0.9090909090909091,2024_01_DET_LA,DET,LA
00-0031280,2024,1,rushing_yards,0.5,13.0,synthetic,over,-110,0.5238095238095238,-7757.0,0.9872720233165797,0.9872720233165797,0.46346249950705587,win,1.0,0.9090909090909091,2024_01_NO_CAR,NO,CAR
00-0033106,2024,1,rushing_yards,0.5,7.0,synthetic,over,-110,0.5238095238095238,-7757.0,0.9872720233165797,0.9872720233165797,0.46346249950705587,win,1.0,0.9090909090909091,2024_01_DET_LA,DET,LA
00-0036264,2024,1,rushing_yards,0.5,0.0,synthetic,over,-110,0.5238095238095238,-7757.0,0.9872720233165797,0.9872720233165797,0.46346249950705587,loss,1.0,-1.0,2024_01_GB_PHI,GB,PHI
00-0036425,2024,1,rushing_yards,0.5,0.0,synthetic,over,-110,0.5238095238095238,-7757.0,0.9872720233165797,0.9872720233165797,0.46346249950705587,loss,1.0,-1.0,2024_01_ARI_BUF,ARI,BUF
00-0036963,2024,1,rushing_yards,0.5,0.0,synthetic,over,-110,0.5238095238095238,-7757.0,0.9872720233165797,0.9872720233165797,0.46346249950705587,loss,1.0,-1.0,2024_01_DET_LA,DET,LA
00-0031763,2024,1,receiving_yards,0.5,6.0,synthetic,over,-110,0.5238095238095238,-7714.0,0.9872018778798723,0.9872018778798723,0.4633923540703485,win,1.0,0.9090909090909091,2024_01_CHI_TEN,CHI,TEN
