model,stat,w_mean,w_sd,cv,w_full,n
qb,attempts,0.8734087421762365,0.01818009152685019,0.020815101394052463,0.8736226317111409,2417
qb,carries,0.7673934416302259,0.014880416032455383,0.019390856404563356,0.76579916052378,2417
qb,completions,0.8782105703659195,0.019673956735931454,0.02240232285946411,0.8784813226892929,2417
qb,interceptions,0.9405179055800623,0.10232884441524878,0.10880052767537444,0.9413936478044123,2417
qb,passing_tds,0.9159937484377,0.020613537335486303,0.022504015306484708,0.9160967423809938,2417
qb,passing_yards,0.8294748985760979,0.022609460267286705,0.027257558132378446,0.8296324258926917,2417
qb,rushing_tds,0.8993324649252252,0.10432234632770619,0.11599975581486435,0.8883698738047148,2417
qb,rushing_yards,0.6878323982147764,0.015077350854992306,0.021920094043439326,0.6883085870341452,2417
rb,carries,0.8360263274237418,0.010668704588383458,0.01276120648169014,0.8358689009503044,5843
rb,receiving_tds,1.190583844837791,0.030159493851857178,0.025331684099884795,1.1908994467449954,5843
rb,receiving_yards,0.6943797655832081,0.026126013857667038,0.03762496425241287,0.6926319692134556,5843
rb,receptions,0.8259406719803168,0.019609088216006654,0.02374152149329433,0.8244995357343334,5843
rb,rushing_tds,1.0402156536098155,0.02244663215109644,0.021578825576408948,1.039725959619453,5843
rb,rushing_yards,0.9396346705814057,0.010116153934196168,0.01076605009469981,0.9398532722434526,5843
rb,targets,0.8019291842471032,0.01645467663248609,0.02051886495181576,0.8007760731443566,5843
wr_te,carries,1.9178670443966315,0.07896218523651033,0.04117187657361939,1.9124062259119603,13965
wr_te,receiving_tds,0.9091210365549344,0.014191754382989412,0.015610412488933604,0.9090830435307237,13965
wr_te,receiving_yards,0.7233191011882645,0.0048257966320598,0.006671739518743537,0.7232926538008857,13965
wr_te,receptions,0.8169435371868867,0.006279250777835423,0.007686272663907446,0.8169243420408453,13965
wr_te,rushing_tds,0.6819909737730874,0.6281987177455534,0.9211246803899317,0.40075920291825057,13965
wr_te,rushing_yards,1.0099995297961653,0.05007692369890715,0.04958113565559135,1.0152190198278759,13965
wr_te,targets,0.8006094471138085,0.0034620786159751857,0.004324303976746658,0.8005624897805141,13965
