model,stat,rule,scale,mae,nmae,nbias,slope,corr,nbias_topform
qb,attempts,current(prod),26.502890173410403,9.608963241827821,0.36256284423908686,0.10728306839377,1.3467096652122221,0.3948887994725229,0.020552855583541987
qb,attempts,raw_glm,26.502890173410403,8.984969495931878,0.33901847825435444,0.06150887618185086,0.8660698416771543,0.5219365036525285,0.08742080140459528
qb,attempts,A:shrink->trail,26.502890173410403,9.077090129615613,0.3424943494925847,0.05291286056353218,0.7659341384277935,0.47896456861840037,0.10479239347800358
qb,attempts,B:coldstart,26.502890173410403,8.878117803440002,0.33498677862488996,0.043330534872207616,0.7895754649797974,0.5247181085516222,0.10173790366534594
qb,attempts,B2:coldstart_wide,26.502890173410403,8.875641575095447,0.3348933462358806,0.047020797006949444,0.8055089061124008,0.5253487588319454,0.10173790366534594
qb,attempts,D:blend a=0.75,26.502890173410403,8.874523749774363,0.33485116874830206,0.055322659220698935,0.8731835299153726,0.5268693816839574,0.10889645479572148
qb,carries,current(prod),3.388728323699422,1.9010670174181916,0.5609971752892915,-0.021145723227385508,1.327643774824531,0.4835985330889015,-0.14144139511599024
qb,carries,raw_glm,3.388728323699422,1.8224075499449786,0.5377850851010342,-0.012682754793384998,0.8886304966111427,0.5241650786032404,0.04528745339960828
qb,carries,A:shrink->trail,3.388728323699422,1.8421918057313604,0.5436233388341584,-0.0017131001477951916,0.7965872357891558,0.5103004628321637,0.09354689311169799
qb,carries,B:coldstart,3.388728323699422,1.8177200850396307,0.5364018331971959,-0.017783664428738837,0.8453611792258732,0.5278224896003424,0.07087253879771652
qb,carries,B2:coldstart_wide,3.388728323699422,1.8173501868356,0.536292677735708,-0.010496094368796166,0.8593319265846151,0.5284437563675003,0.07087253879771652
qb,carries,D:blend a=0.75,3.388728323699422,1.8169657313308278,0.5361792264737454,-0.003696207616452089,0.8536844036267799,0.5301028613465032,0.08366508149677032
qb,completions,current(prod),16.960982658959537,6.400967650393426,0.37739367931091855,0.10669238866110273,1.3138539732948462,0.3956116921746894,-0.0034718256006234455
qb,completions,raw_glm,16.960982658959537,5.977278882191319,0.35241347759021835,0.061629601884222014,0.8569563302180959,0.5251992707804307,0.0746363766637657
qb,completions,A:shrink->trail,16.960982658959537,6.11776147807085,0.3606961696195815,0.06097260015320973,0.7709060406665244,0.47769124568343113,0.09330279028671733
qb,completions,B:coldstart,16.960982658959537,5.943412978242769,0.35041678290397854,0.04938974184545397,0.8018323930995752,0.5272904052939292,0.08898773069414219
qb,completions,B2:coldstart_wide,16.960982658959537,5.941880400705987,0.3503264238978055,0.051881794671436096,0.8147188278842755,0.5281810863209944,0.08898773069414219
qb,completions,D:blend a=0.75,16.960982658959537,5.96583115536003,0.35173853280302814,0.059504294014750346,0.860927100671221,0.5256167701275664,0.09616340770933018
qb,interceptions,current(prod),0.5838150289017341,0.6726216225048225,1.1521142642904385,0.13071325055138663,1.5440255507224572,0.14958038209326802,-0.07610888571702491
qb,interceptions,raw_glm,0.5838150289017341,0.65041116598988,1.1140706110519727,0.07994847036753767,1.1176325667478606,0.20307854021795582,-0.08140931984253823
qb,interceptions,A:shrink->trail,0.5838150289017341,0.6762015606714159,1.1582462375856926,0.15967362991890127,0.4060359595932443,0.10526041523404438,0.4362744545819844
