stat,mkt,p_glm,p_fan
receptions,0.56,0.765,0.6083273840694687
receiving_yards,0.605,0.6726459261560326,0.6565755004894673
receptions,0.435,0.404,0.4891586708155412
receiving_yards,0.5,0.37945948215031766,0.48435718018036145
receptions,0.535,0.532,0.539403013019808
receiving_yards,0.525,0.45183610292809273,0.5126566217177135
receptions,0.51,0.5,0.49053210686084125
receiving_yards,0.48,0.5765101691276975,0.6241706270117667
receptions,0.525,0.43,0.5483734290474571
receiving_yards,0.505,0.29483386444535875,0.5365905175890425
receptions,0.5900000000000001,0.189,0.5236509569658306
receiving_yards,0.545,0.3311431199882683,0.4916207251577224
receptions,0.475,0.388,0.4820460645944994
receiving_yards,0.495,0.4637498388272513,0.45368934853305276
receptions,0.5900000000000001,0.461,0.5132926379131095
receiving_yards,0.575,0.6451234947909144,0.718015043193497
receptions,0.485,0.174,0.5742283866342021
receiving_yards,0.41500000000000004,0.7093203368344323,0.6018702955297396
receptions,0.425,0.655,0.5443936123653393
receiving_yards,0.565,0.23260996456061256,0.4607640224089111
receptions,0.5,0.189,0.4425096233283047
receiving_yards,0.49,0.12095592135154498,0.4735655951471628
receptions,0.545,0.2,0.4888378033186851
receiving_yards,0.545,0.34121503262857344,0.5848048474247661
receptions,0.42,0.205,0.4991578335087804
receiving_yards,0.56,0.4478136312039175,0.5469118463465076
receptions,0.52,0.395,0.4302285577885984
receiving_yards,0.52,0.6417921084297793,0.6343524045733676
receptions,0.53,0.445,0.5742496739476541
receiving_yards,0.525,0.22086222029991975,0.5785660112138562
receptions,0.45999999999999996,0.058,0.48452980762885545
receiving_yards,0.51,0.7267192823307485,0.5509046186591824
receptions,0.44999999999999996,0.632,0.4181622195521483
receiving_yards,0.425,0.3097694381593006,0.40337976127484204
receptions,0.44999999999999996,0.193,0.3317650190695633
receiving_yards,0.495,0.6214913009861771,0.6296130873486963
receptions,0.36,0.424,0.37828173749057653
receiving_yards,0.495,0.4191072162632663,0.5073099806423829
receptions,0.5549999999999999,0.363,0.5337667674720195
receiving_yards,0.5,0.43097638516782866,0.6016532799077026
receptions,0.54,0.618,0.577981304698428
receiving_yards,0.5449999999999999,0.6380356412524364,0.45799658660923553
receptions,0.515,0.537,0.4216147800728925
receiving_yards,0.5,0.379529508337893,0.28593059373210583
receptions,0.52,0.339,0.34202758306324577
receiving_yards,0.525,0.39461888657149347,0.3597518894080436
receptions,0.595,0.32,0.26587322565225713
receiving_yards,0.5249999999999999,0.5387144463371187,0.607843661931906
receiving_yards,0.365,0.406876338584482,0.4566351392297624
receptions,0.36,0.464,0.5038581745977297
receiving_yards,0.515,0.43325129154728426,0.6133036486250943
receiving_yards,0.5,0.4448078649116276,0.5419193101758959
receiving_yards,0.51,0.4010449556401491,0.6019729810719835
receiving_yards,0.5349999999999999,0.2888389845843413,0.549128791319049
receptions,0.38,0.446,0.46081576153492987
receptions,0.34,1.0,0.6895014362046992
receptions,0.405,0.201,0.3592184981555713
