model,stat,rule,n,mae,bias,slope,corr,q5_bias
qb,attempts,current(prod),692,9.608963241827821,2.843311379106563,1.3467096652122221,0.3948887994725229,2.454306979693868
qb,attempts,raw_glm,692,8.984969495931878,1.6301629901374923,0.8660698416771543,0.5219365036525285,5.2336578179926185
qb,attempts,trailing_only,692,9.281369728175576,0.974352475296314,0.6318542573625635,0.4552414871357764,5.568014705882355
qb,attempts,A:shrink->trailing,692,9.077090129615613,1.4023437322762717,0.7659341384277935,0.47896456861840037,4.05696528624426
qb,attempts,B:coldstart_style,692,8.878117803440002,1.148384406873248,0.7895754649797974,0.5247181085516222,4.826390510945803
qb,attempts,D:blend a=0.25,692,9.016588311713184,1.1383051040066086,0.7344046592876099,0.4882738743356408,4.735857675219549
qb,attempts,D:blend a=0.50,692,8.883569777497812,1.3022577327168996,0.8230065220203294,0.514205262299362,4.599384311995131
qb,attempts,D:blend a=0.75,692,8.874523749774363,1.4662103614271942,0.8731835299153726,0.5268693816839574,4.588644996908407
qb,carries,current(prod),692,1.9010670174181916,-0.07165711122575003,1.327643774824531,0.4835985330889015,-0.8883374299297522
qb,carries,raw_glm,692,1.8224075499449786,-0.04297841039087835,0.8886304966111427,0.5241650786032404,0.14367525782371882
qb,carries,trailing_only,692,1.8880623467382882,0.07883345741205616,0.6817040960901656,0.5150521648161356,1.1375661375661368
qb,carries,A:shrink->trailing,692,1.8421918057313604,-0.005805230992167232,0.7965872357891558,0.5103004628321637,0.5087089194931442
qb,carries,B:coldstart_style,692,1.8177200850396307,-0.06026400734883319,0.8453611792258732,0.5278224896003424,0.3158040369718851
qb,carries,D:blend a=0.25,692,1.8494122516102607,0.048380490461322534,0.7426964851439556,0.5236097835695687,0.8362984658406925
qb,carries,D:blend a=0.50,692,1.8272161108189566,0.017927523510588905,0.8021295308391672,0.5292190466451925,0.6436658911966644
qb,carries,D:blend a=0.75,692,1.8169657313308278,-0.012525443440144723,0.8536844036267799,0.5301028613465032,0.41157775693927956
qb,completions,current(prod),692,6.400967650393426,1.8096077539239346,1.3138539732948462,0.3956116921746894,1.4002602157963615
qb,completions,raw_glm,692,5.977278882191319,1.0452986088368696,0.8569563302180959,0.5251992707804307,3.423438968910652
qb,completions,trailing_only,692,6.323797230432295,0.9011093691606185,0.635630988627346,0.44957302343817857,3.4172661870503624
qb,completions,A:shrink->trailing,692,6.11776147807085,1.0341552138702639,0.7709060406665244,0.47769124568343113,3.119252824435918
qb,completions,B:coldstart_style,692,5.943412978242769,0.837698554971233,0.8018323930995752,0.5272904052939292,3.3072239338583316
qb,completions,D:blend a=0.25,692,6.126959874380476,0.9371566790796813,0.733114058962652,0.48355767627973,3.310502250658967
qb,completions,D:blend a=0.50,692,6.005641082299838,0.9732039889987476,0.8149761593494167,0.5106198884206724,3.626496753600719
qb,completions,D:blend a=0.75,692,5.96583115536003,1.0092512989178104,0.860927100671221,0.5256167701275664,3.4509242205486252
qb,interceptions,current(prod),692,0.6726216225048225,0.0763123601484974,1.5440255507224572,0.14958038209326802,-0.03766646100917104
qb,interceptions,raw_glm,692,0.65041116598988,0.04667511853827344,1.1176325667478606,0.20307854021795582,-0.004502815360620804
qb,interceptions,trailing_only,692,0.7087754750983204,0.11766362287904797,0.08106989585479889,0.0376655018842103,0.7711111111111112
qb,interceptions,A:shrink->trailing,692,0.6762015606714159,0.09321986486594813,0.4060359595932443,0.10526041523404438,0.20038410242399285
qb,interceptions,B:coldstart_style,692,0.6522838768564685,0.0366883425450274,0.8000189602050667,0.15668808593964442,0.07404027067222974
qb,interceptions,D:blend a=0.25,692,0.6888531330983189,0.09991649679385428,0.174919262129933,0.06252520870540826,0.46802515085461616
qb,interceptions,D:blend a=0.50,692,0.6701345836854371,0.0821693707086607,0.4003748403862561,0.10435592417860125,0.29136937933390383
