model,stat,w_all,n,w_n=1,w_n=2-3,w_n=4-7,w_n=8+,code_n=1,code_n=2-3,code_n=4-7,code_n=8+
qb,attempts,0.8736226317111409,2417,1.0044619601608802,0.8465095406750185,0.8652010502341284,0.7201018671869344,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
qb,carries,0.76579916052378,2417,0.48225927517381295,0.7503185808718159,0.8745015491692554,0.7881509833550201,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
qb,completions,0.8784813226892929,2417,0.9816410509354044,0.813674647627057,0.9234055861335754,0.7720239177475362,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
qb,interceptions,0.9413936478044123,2417,1.030772578560044,0.9380169389965992,1.0735580603411448,0.6955831720852719,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
qb,passing_tds,0.9160967423809938,2417,1.051869616187877,0.8415243220364835,0.9597877547824405,0.8259704325668379,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
qb,passing_yards,0.8296324258926917,2417,0.9097722070895364,0.8041147485482962,0.8541293568461201,0.6952042488630841,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
qb,rushing_tds,0.8883698738047148,2417,0.48592683704256723,0.7709454461424959,0.7230611769810391,1.190649223993162,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
qb,rushing_yards,0.6883085870341452,2417,0.37638073738623856,0.6436552347019356,0.7693932258371633,0.7421721998153936,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
rb,carries,0.8358689009503044,5843,0.7169998366671957,0.8679476466783177,0.8425061669424643,0.8461642230576184,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
rb,receiving_tds,1.1908994467449954,5843,1.5506206737164219,1.0291908264118443,1.2321452580748327,1.1435224463063474,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
rb,receiving_yards,0.6926319692134556,5843,0.7006228444217131,0.9167499139424099,0.6557905629157398,0.6586956674573136,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
rb,receptions,0.8244995357343334,5843,0.8584930134475209,1.0409308395317198,0.7667580883744729,0.8003537039500477,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
rb,rushing_tds,1.039725959619453,5843,0.6246859737536021,1.1758435464726633,1.2385544477293589,0.9757902254284017,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
rb,rushing_yards,0.9398532722434526,5843,0.8013080577959728,0.962365225665155,0.9743210549162225,0.9402141653919662,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
rb,targets,0.8007760731443566,5843,0.8237339260173875,1.0227531899220683,0.7571550402293826,0.7668268826971166,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
wr_te,carries,1.9124062259119603,13965,1.2756252390446425,1.5395295438769616,1.8324575206615081,2.6612983033093265,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
wr_te,receiving_tds,0.9090830435307237,13965,0.9241622777674361,0.931332417071032,0.9034440525700693,0.9018251406978592,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
wr_te,receiving_yards,0.7232926538008857,13965,0.7284898741826568,0.7001362772234084,0.75735560069232,0.7091384030462345,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
wr_te,receptions,0.8169243420408453,13965,0.8313835514900474,0.8239265518189135,0.8529183546817459,0.7890615747191613,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
wr_te,rushing_tds,0.40075920291825057,13965,0.2599266790822153,0.22518196215287353,0.5951352317161142,1.9672127184810044,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
wr_te,rushing_yards,1.0152190198278759,13965,1.3730631316904545,0.6692121531675834,1.0467387763022924,1.0765834570795652,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
wr_te,targets,0.8005624897805141,13965,0.8185298211688782,0.8162960417755246,0.8351063936675296,0.7701054569195112,0.3333333333333333,0.5,0.7142857142857143,0.8461538461538461
